"Metabolite","Category","HyPea.7404_3","HyPep.1510_1","HyPep.1510_2","HyPep.1510_4","HyPep.4601N_1","HyPep.4601N_2","HyPep.1510_3","HyPep.7504_1","HyPep.7504_2","HyPep.7504_3","HyPep.4601N_3","HyPea.7404_2","HY.YEST.412_1","HY.YEST.412_2","HY.YEST.412_3","HY.YEST.466_1","HY.YEST.466_2","HY.YEST.466_3","HY.YEST.503_1","HY.YEST.503_2","HY.YEST.503_3","HY.YEST.555_1","HY.YEST.555_2","HY.YEST.555_3","HyPea.7404_1","HyPep.YE_2","HyPep.YE_3","HyPep.YE_1"
"(-)-Citramalic acid","Lipids",0.016916041,0.023712242,0.025141297,0.021436176,0.00199901,0.009372052,0.02230649,0.024092975,0.024821814,0.012512442,0.008847233,0.015135841,0.054445001,0.090068874,0.049214695,0.09814988,0.004292549,0.15340319,0.019235153,0.019901647,0.020095726,0.04218668,0.058213225,0.05686891,0.015696992,0.046898251,0.031520941,0.033514676
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","Other",0.210355037,0.00826928579891994,0.0450657595,0.0356128283850998,0.0210925469303322,0.0123505208904535,0.0351774258514348,0.0483911631513679,3.47137303885589e-06,0.0180305304454094,3.06944057972158e-06,0.1973572855,0.0182211094810139,2.2824998117728e-06,2.30561782546968e-06,2.50408270254315e-06,2.92719090948243e-06,2.99219886270629e-06,0.0178344726588873,3.21373484482806e-06,3.03750598672159e-06,2.45775807655855e-06,2.47239276239156e-06,3.51424222714585e-06,0.328837591,3.00998210079666e-06,2.45633431617762e-06,0.00336472840631049
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","Other",0.01151353,0.012587581,0.009879142,0.008885168,0.020078524,0.018608363,0.000882816,0.263429443,0.220403461,0.307486655,0.018410477,0.009408519,0.000609197,0.001489706,0.001011483,0.001561165,0.001128273,0.001328127,0.00150355,0.001501989,0.00206789,0.00924789,0.009467084,0.000663147,0.001305325,0.022637056,0.008383328,0.034521112
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","Other",0.000310160449928758,1.11495919458858e-06,1.14632139978089e-06,0.000418719377170261,0.0126528939903453,0.00342312036682661,2.02791512768579e-05,0.0124601926590555,0.00783809140622809,0.0137061612444349,1.47451114865172e-06,3.86140856036797e-05,0.2045561755,0.101418840235777,0.0756505495989127,0.0107442386253069,0.0159147010103559,0.0297939281157153,0.4595230585,0.00502802525797986,0.00198119028191266,0.00841576296586045,0.00639110693053049,0.0163473711548467,2.0197116653955e-06,0.00531867597085878,0.00471555747489613,0.00332682949782251
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one","Other",1.43593562535145e-07,0.268696307,0.2689477315,0.212531696,0.0084935905,1.29444524019887e-07,0.2391754475,1.40571553865089e-07,1.42237466999128e-07,1.45549164866052e-07,0.001494484,0.000657937,1.26181984689237e-07,1.31710324575274e-07,1.49370983824881e-07,1.29085511711671e-07,1.42319825359648e-07,1.14472275810272e-07,1.30105127289401e-07,1.42265870431201e-07,1.44932883691516e-07,1.21946042876273e-07,1.22435708867284e-07,1.38389863246564e-07,1.14457598214113e-07,1.32777206708033e-07,1.36527911320263e-07,1.27631816297161e-07
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one","Other",1.3906881406175e-07,1.86180146363365e-07,1.82687033160167e-07,1.16938144851809e-07,0.005548033,0.005213511,1.38037131017932e-07,1.37765176978133e-07,1.18407628893914e-07,1.37085310928196e-07,0.001264358,1.63080751090036e-07,0.205159114,0.046744321,0.22696396,0.08352054,0.072761209,0.086023398,0.050984085,0.028907381,0.007984383,0.025389892,0.019805984,0.133727956,1.22406783452362e-07,1.33289561559527e-07,1.26539882252555e-07,1.75093932975717e-07
"(4s,5z,6s)-4-(2-methoxy-2-oxoethyl)-5-[2-[(e)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4h-pyran-3-carboxylic acid","Other",6.30184151344118e-08,0.010995471,0.0089117005,0.0066078355,0.0075034265,0.0047082105,0.009213083,0.301761793,0.345560889,0.232724025,0.0038493415,7.30232914458018e-08,0.0009234155,0.000999221,0.0006271275,0.0008321295,7.84908607514204e-08,0.002425856,0.022559777,0.0125477215,0.020349678,0.0020963675,0.0012553245,0.0016633085,7.6174200904217e-08,0.000677457,7.45651554535546e-08,0.0012064765
"(E)-5-(2,3-dimethyl-4,5,6,7-tetrahydro-1h-tricyclo[2.2.1.02,6]heptan-3-yl)-2-methylpent-2-enoic acid","Other",0.032008435,0.047654957,0.028507623,0.018643929,0.057519157,0.033643867,0.024061473,0.027920739,0.050216502,0.020254065,0.04834834,0.020556867,0.051765673,0.062565345,0.04812497,0.029481799,0.030732975,0.051411013,0.026132262,0.049564353,0.036024794,0.038701945,0.007751924,0.015860026,0.019916607,0.029907543,0.04448022,0.0482426
"?-Gentiobiose","Carbohydrates",0.008619695,0.078587511,0.074565934,0.074942044,0.055825784,0.055306426,0.075407944,0.014858164,0.012772944,0.015005064,0.055318832,0.00996789,0.030755686,0.020631596,0.053586784,0.000344716,0.00181672,0.000453594,0.065875938,0.081599223,0.08340793,0.012436715,0.018454346,0.001315329,0.011743889,0.026083496,0.03500567,0.025310138
"[(4r,5s,6r,6as,7r,10ar,11br)-5-acetyloxy-6-hydroxy-10a-methoxy-4,7,11b-trimethyl-9-oxo-1,2,3,4a,5,6,6a,7,11,11a-decahydronaphtho[2,1-f][1]benzofuran-4-yl]methyl acetate","Other",0.037858869,0.040639938,0.030124424,0.033393293,0.027998027,0.034433437,0.03666915,0.030364386,0.03790527,0.038645335,0.035301166,0.041828233,0.033426935,0.040493513,0.041198,0.028980524,0.031843639,0.034121882,0.033221126,0.033757685,0.038243882,0.036715648,0.037873711,0.038407859,0.03242317,0.037973965,0.03704891,0.039108024
"[5-acetyloxy-3-(hydroxymethyl)-2-oxo-6-propan-2-ylcyclohex-3-en-1-yl] 3-methylbutanoate","Other",0.044307788,0.030980922,0.035012,0.034146177,0.052137816,0.055003425,0.007985639,0.046694992,0.061617186,0.047758865,0.056922834,0.051956485,0.000760369,5.00892161843205e-07,0.012879969,0.013477976,0.011012324,0.013622012,0.062084981,0.051924013,0.066765508,0.055838706,0.051664555,0.042402205,0.051492869,0.014112634,0.011908691,0.01552856
"1-acetylimidazole","Other",0.022743059,0.057426736,0.051351324,0.051035047,0.043950307,0.039837293,0.043592376,0.06675684,0.064956955,0.0755163,0.043652334,0.004472409,0.015026371,0.043059819,0.027167909,0.01267825,0.017203366,0.01386947,0.054830775,0.049184086,0.049600226,0.012730671,0.015370777,0.019114823,0.00397498,0.023712549,0.019040868,0.058144079
"1-decanoyl-2-hydroxy-sn-glycero-3-phosphocholine","Lipids",0.004925751,0.032740904,0.028590022,0.017515618,0.039999269,0.049520391,0.016727225,0.008627811,0.018273022,0.029519575,0.03373887,0.003519012,0.267952716,0.087663443,0.223965128,0.003999612,1.86013378175291e-07,0.004460908,0.027196415,0.031672293,0.039462075,0.003070715,0.002237282,0.017602678,0.004118711,1.84033224320408e-07,0.002900011,1.7403292190707e-07
"1-lauroyl-2-hydroxy-sn-glycero-3-phosphocholine","Lipids",1.44047825816682e-07,1.54562600172732e-07,0.001313598,0.000283764,0.000457008,1.22169162024494e-07,1.30347070406604e-07,0.005927382,0.009461851,0.011913635,0.000267391,0.011021891,0.36569178,0.139182587,0.238074052,1.20789607897484e-07,1.39507754263695e-07,1.38593905213216e-07,0.12105889,0.040356134,0.030263549,0.009938965,0.014532282,1.66971184542491e-07,1.41958481838921e-07,1.64734618199434e-07,1.52024191457943e-07,0.000253666
