sample14,HyPep-YE_1
sample15,HyPep-YE_2
sample16,HyPep-YE_3
sample1,HyPea-7404_1
sample2,HyPea-7404_2
sample3,HyPea-7404_3
sample17,HY-YEST-412_1
sample18,HY-YEST-412_2
sample19,HY-YEST-412_3
sample26,HY-YEST-555_1
sample27,HY-YEST-555_2
sample28,HY-YEST-555_3
sample20,HY-YEST-466_1
sample21,HY-YEST-466_2
sample22,HY-YEST-466_3
sample23,HY-YEST-503_1
sample24,HY-YEST-503_2
sample25,HY-YEST-503_3
sample8,HyPep-4601N_1
sample9,HyPep-4601N_2
sample10,HyPep-4601N_3
sample4,HyPep-1510_1
sample5,HyPep-1510_2
sample6,HyPep-1510_3
sample7,HyPep-1510_4
sample11,HyPep-7504_1
sample12,HyPep-7504_2
sample13,HyPep-7504_3
