,Metabolite.name,Adduct.type,Average.Rt.min.,HyPea-7404_1,HyPep-4601N_3,HyPep-7504_1,HyPep-7504_2,HyPep-7504_3,HyPep-YE_1,HyPep-YE_2,HyPep-YE_3,HY-YEST-412_1,HY-YEST-412_2,HY-YEST-412_3,HyPea-7404_2,HY-YEST-466_1,HY-YEST-466_2,HY-YEST-466_3,HY-YEST-503_1,HY-YEST-503_2,HY-YEST-503_3,HY-YEST-555_1,HY-YEST-555_2,HY-YEST-555_3,HyPea-7404_3,HyPep-1510_1,HyPep-1510_2,HyPep-1510_3,HyPep-1510_4,HyPep-4601N_1,HyPep-4601N_2
1,Glyceraldehyde,[M-H]-,1.927,0.048555254,0.024470643,0.004992251,0.005454398,0.008997413,0.100025322,0.052552873,0.067108033,0.138893994,0.122008784,0.120784171,0.031917202,0.010313145,0.00876248,0.026352497,0.000830804,0.009517961,0.003452506,0.036713775,0.027864852,0.0703819,0.052070669,0.001639448,0.001122615,0.001146592,0.000958365,0.013721042,0.009391012
2,"N,N-Dimethylglycine",[M-H]-,1.697,0.003641869,0.005616812,0.002760778,0.002590103,0.002136505,0.041920223,0.053009698,0.050547811,0.056245933,0.06728912,0.060191248,0.002330813,0.104969437,0.096419333,0.180370113,0.028427675,0.042277906,0.026231471,0.056260976,0.053351708,0.04467969,0.002789617,0.001109368,0.00106937,0.001285115,0.001645958,0.005563026,0.005268324
3,"N,N-Dimethylglycine",[M-H]-,2.619,0.004587538,0.001243816,0.029555169,0.005335401,0.042606287,0.088951927,0.063769044,0.043568091,0.015932814,0.113943828,0.04214539,0.004969432,0.025873864,0.026601285,0.044084304,0.099372021,0.16203441,0.096222198,0.028069026,0.025640573,0.018854084,0.005139608,0.002236485,0.003456068,0.001695274,0.003652262,0.00042012,3.97E-05
4,Serine,[M-H]-,6.648,0.00321021,0.018912221,0.010524436,0.005879806,0.010496417,0.102831626,0.116143779,0.05955488,0.061076561,0.058135033,0.070182007,0.003927601,0.047049815,0.067895697,0.07671527,0.010167997,0.007133028,0.007552995,0.001803673,0.000125882,0.015787195,0.002713857,0.062292244,0.059073823,0.044660317,0.028816814,0.022779272,0.024557544
5,Serine,[M-H]-,2.342,0.004250232,0.042444754,0.012537322,0.010475441,0.014805553,0.066462685,0.054015487,0.032755718,0.06551499,0.062313974,0.089659113,0.005851885,0.053834834,0.090368272,0.092013002,0.015751282,0.015920943,0.016690101,0.006952382,0.007238361,0.019845983,0.004936267,0.029693341,0.022493493,0.023526656,0.022083239,0.067614034,0.049950656
6,Serine,[M-H]-,1.682,0.006016756,0.058210364,0.010654169,0.010448789,0.002935855,0.092113556,0.096999606,0.081117559,0.054781598,0.057605498,0.060143225,0.006191852,0.045033841,0.065748863,0.07864698,0.012099806,0.012188691,0.012275565,0.005272212,0.004960017,0.017451405,0.002122089,0.022480505,0.020025967,0.018831115,0.018977413,0.064030514,0.062636189
7,Catechol,[M-H]-,9.325,5.31E-07,0.00297227,0.265793933,0.378488564,0.262799258,0.005207935,0.004123882,0.004157662,0.003899833,0.002737535,0.003371767,0.000193027,0.00350137,0.003651656,0.005042139,0.006801441,0.012638438,0.002240836,0.004211434,0.018608484,0.006127915,0.000572532,3.93E-07,0.000387088,0.001933371,3.64E-07,3.48E-07,0.000535994
8,Catechol; LC-ESI-QTOF; MS2; CE,[M-H]-,5.705,0.005749595,0.002702556,0.03135151,0.024932179,0.111486318,0.0429303,0.065990952,0.045034911,0.070044975,0.07780054,0.093910567,0.005019685,0.033814317,0.032725449,0.037625544,0.043835785,0.030182662,0.061668996,0.039706352,0.029032477,0.050842016,0.010243127,0.012608435,0.019181631,0.012484847,0.001839155,0.003732771,0.003522348
9,Histamine,[M-H]-,1.663,0.004773334,0.097614183,0.011127004,0.011522227,0.011502539,0.037196937,0.060325571,0.039636238,0.041720698,0.062912591,0.065777822,0.002971784,0.066546511,0.063681448,0.067380642,0.008598602,0.015726274,0.011457568,0.015325737,0.00989021,0.018575956,0.002269375,0.012804774,0.012660467,0.013050265,0.01491323,0.106085369,0.113952645
10,Succinic Acid; LC-ESI-QTOF; MS2; CE,[M-H]-,2.384,0.015103733,0.007808713,0.005080525,0.004576627,0.005851664,0.050789462,0.03784602,0.039935353,0.046023056,0.035313297,0.028660304,0.010346599,0.107778076,0.108023201,0.131801872,0.02339252,0.028731938,0.025869346,0.084227291,0.079504084,0.082744497,0.016538125,0.001443302,0.001271595,0.001284712,0.001233297,0.01037535,0.00844544
