"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
1.927,"[M-H]-","Glyceraldehyde",511455,351798372,280433128,350914626,177105961,36538462,39873589,65442063,722352808,379763786,484802356,1002851924,880998352,872160828,230844689,74937154,63746648,190686518,6507021,69198642,25426765,265459572,201600561,508428498,376283919,12342671,8612901,8785932,7427580,99530535,68282502
1.697,"[M-H]-","N,N-Dimethylglycine",10548,9233977,9845986,1432858,2204160,1088753,1022097,844947,16382237,20713164,19751689,21977056,26289906,23517875,920833,41005725,37666534,70453002,11112804,16521928,10255090,21982931,20846734,17459930,1100016,443805,428184,512442,653367,2183154,2068060
2.619,"[M-H]-","N,N-Dimethylglycine",9334,1160723,979583,135226,43467,820392,155749,1178543,2450368,1759295,1204937,446565,3136200,1165895,145706,719369,739331,1219103,2736318,4455910,2649880,779609,712967,526731,150376,70708,104176,55856,109560,20863,10423
6.648,"[M-H]-","Serine",160424,1925370,1303107,231574,579588,393684,290742,393063,2439549,2734595,1480378,1514104,1448909,1715914,247474,1203220,1665241,1860715,385784,318518,327826,200400,163214,510326,220573,1541048,1469716,1150260,799110,665296,704709
2.342,"[M-H]-","Serine",197492,12054864,12769659,1139849,9608299,2977254,2520096,3480164,14933530,12173750,7460056,14723408,14013682,20076618,1494966,12133696,20233852,20598520,3689850,3727467,3898004,1738967,1802374,4597723,1291956,6781069,5184726,5413798,5093765,15188806,11272500
1.682,"[M-H]-","Serine",202839,47392568,46113443,5555722,51990423,9681455,9498736,2814759,82152825,86499761,72370098,48939978,51452296,53710017,5711498,40267763,58697144,70172116,10967584,11046662,11123950,4893329,4615581,15728701,2090782,20202904,18019193,16956178,17086334,57168393,55927914
9.325,"[M-H]-","Catechol",9042,18046,225988,4232,17665,780150,1107094,771462,24151,21006,21104,20356,16984,18824,9602,19200,19636,23670,28774,45708,15543,21260,63028,26820,10703,3252,10165,14651,8514,7136,10597
5.705,"[M-H]-","Catechol; LC-ESI-QTOF; MS2; CE",7490,156510,267980,37683,21682,172127,138417,592941,232931,354030,243983,375319,416046,500645,33850,185060,179342,205074,237686,165989,331334,216001,159949,274478,61280,73701,108219,73052,17148,27092,25987
1.663,"[M-H]-","Histamine",683,495780,527484,86023,1745877,199617,206683,206331,665708,1079213,709319,746586,1125465,1176691,53814,1190434,1139211,1205347,154413,281845,205527,274684,177505,332793,41256,229613,227033,234002,267309,1897329,2037984
2.384,"[M-H]-","Succinic acid; LC-ESI-QTOF; MS2; CE",93554,495525116,354565842,110913837,57388251,37370774,33673536,43028837,372749925,277780305,293110320,337777488,259197014,210382155,76009425,790891201,792689754,967160460,171730962,210907752,189904120,618092559,583437076,607212884,121438367,10683458,9423600,9519841,9142597,76220372,62060092
1.726,"[M-H]-","Threonine; LC-ESI-ITFT; MS2; CE 90.0 eV; [M-H]-",213183,101799838,79775928,2961750,112389139,10987614,10470904,10306221,202285473,207819940,158084991,172602334,144081937,150448302,2665993,255559798,261895286,266887915,21564147,22767556,19318929,40702286,42594885,91320559,2056638,17821952,17048637,15250406,14007128,131866560,133176106
6.653,"[M-H]-","Threonine",149124,1638589,1226688,113438,678351,282812,231079,274133,2278638,2471224,1508746,1806252,1685717,1770078,85575,1680133,1713804,1582224,505003,366471,371430,573512,516053,837888,82287,659035,657580,495258,394169,825082,805721
2.735,"[M-H]-","Threonine",190137,13258113,6996188,258884,11655564,4135992,3547960,5420133,51156939,13907139,8066636,10036859,9322537,17984599,518384,14126721,9322135,17580010,16036126,4440268,11333496,20814457,5802377,4854155,545002,7327790,4184690,3160248,6624405,4772221,3954579
2.831,"[M-H]-","Glutaric acid; LC-ESI-QTOF; MS2; CE",143439,10131350,7624425,798493,413038,8948898,9822018,10223355,11371577,15204602,6249523,4349927,8938728,5688404,701158,14408517,22625732,20096417,10522700,11502041,7862110,20543316,17107782,8486785,764730,6335133,5911312,5307895,4742680,655403,568686
1.683,"[M-H]-","Asparagine",62976,38683712,34026775,13359058,43438510,21856476,21757613,19452440,61851305,70302625,50376044,48256185,53725983,46731399,12804053,45814230,46899343,50196065,12472203,13107535,13014013,12432776,8342012,24360904,12254059,14420747,13134450,15001991,15042745,46430029,45912097
3.947,"[M-H]-","2-Hydroxyisocaproic acid; LC-ESI-QTOF; MS2; CE",19002,17224006,27885510,10749406,1797658,2653642,3109240,3388785,38590949,34608233,47873590,64912220,66862414,62900559,4876803,7430214,3397702,10806113,6847491,12066878,8252362,13127803,9285980,87910698,7498107,850014,797294,663386,782113,2835545,1957848
1.65,"[M-H]-","Aspartic acid",39395,96874951,105108734,3403739,35575233,16013572,15620664,16311584,295008281,223846353,244071836,235384612,225261222,251637413,2784355,323490367,385788844,311517612,13629726,36555571,8501103,17005418,54083038,85429338,3606466,21357207,17125750,14956387,14834715,30262872,32790380
1.956,"[M-H]-","D-(+)-Malic acid; LC-ESI-QTOF; MS2; CE",10208,87276383,89363578,1501187,117151358,84930092,86120696,99138575,37481693,44177037,35893720,27323060,42683099,35886626,21782093,11017421,38851759,24173945,22797810,37405273,14507594,43576948,56208168,12035415,19377969,128694788,5115619,130009772,126868130,143715002,128748134
1.738,"[M-H]-","D-(+)-Malic acid; LC-ESI-QTOF; MS2; CE",10435,42653088,35277284,8272280,117151358,58809228,52190465,60798903,31465697,35219979,32281653,31185140,56512866,38328231,10471676,6083573,20827690,16642035,14256219,28134254,6602119,21538357,23312705,7628342,6077418,100363150,106616352,118795081,101646647,47968918,128748134
2.977,"[M-H]-","D-(+)-Malic acid; LC-ESI-QTOF; MS2; CE",9462,1619942,760956,376420,5817490,84930092,756829,1199318,588905,606152,613988,441353,919991,654806,525172,106043,612935,242873,250500,348402,107450,202408,419359,62491,1906492,2888975,2773029,2803550,2798336,1316437,6206009
8.238,"[M-H]-","ADENINE",256336,3876138,258000121,10744428,14294675,51844826,58867783,62531750,420745104,18143054,614848556,526312438,7145510,9126657,5108007,869229088,102317960,530340226,16153467,32664689,18716227,75725714,10421776,319870978,12971382,7673166,8166548,5364956,7304732,22773352,18764866
7.242,"[M-H]-","ADENINE",272630,354003262,1076656,170114,63928,119207,147934,181146,1215173,761578752,2196980,1598640,568263276,551494946,124121,1349602,2013357,2579165,949026,690995,559925,658833,685687,1035377,95300,69653,57322,64572,62370,82437,70036
11.186,"[M-H]-","ADENINE",253142,1591507,33044418,211429,132407,702517,598218,666680,4075644,4161992,21670783,17160364,2649570,2743164,1377469,12083043,6634699,6860479,15971717,8631044,2518921,1530840,3324478,30578121,1667255,153405,143822,327142,148110,223376,193789
10.616,"[M-H]-","ADENINE",252311,29947325,4679944,1947486,2007868,31725589,14064000,28126383,4335626,37121578,9870924,8661587,7505141,9824022,162072,11619022,150380192,131489394,1215184,1145796,701564,1143502,1343320,5441076,141143,4263017,4616218,4107082,4067344,4817852,4393427
2.296,"[M-H]-","Hypoxanthine",141667,1052972,1570396,702093,351447,324109,279460,259146,2938224,275889,1640181,74294,197064,1025276,518775,127723,134572,162346,3100952,3039800,3355364,2724815,3151772,2714905,851650,253970,189702,135093,200855,269043,413910
4.06,"[M-H]-","Hypoxanthine",113608,37361285,32471403,618160,362477,1388290,1375747,682429,20199369,34713526,19248153,17572442,24639900,16465901,299945,39178867,39210221,53288923,9806227,16689654,13429373,121751600,54348480,190156825,487282,520868,118528,111449,117194,641522,452794
17.264,"[M-H-CO2]-","Caffeic acid; LC-ESI-QTOF; MS2; CE",32349,2430631,2338117,164629,183836,1163139,1214363,3371191,3023358,1771275,1761135,3514479,3438531,3212118,158301,5572496,8076227,15867738,2397506,1960674,1324280,1497799,1175708,2331720,194922,575177,738612,634119,719864,270678,280886
19.597,"[M-H]-","2-hydroxyquinoline",46577,42011146,48746786,28298543,28637356,48182683,52143850,105403963,38570373,32945677,23675218,53099530,76065765,25900424,42552494,95283848,99846842,108587488,21118470,19426779,21217260,15437061,24044005,33587741,30255595,28964644,46017318,39719197,39714786,27364707,31628949
3.174,"[M-H]-","4-Acetamidobutyric acid",22978,4629743,4019777,192391,227792,1189296,1340789,940343,16431158,8479387,10581329,6599146,14594621,5314173,118319,8991013,4499447,12262635,9452462,7361872,7127034,1706587,1145476,2499834,186223,423077,377219,357702,312648,226342,220561
1.681,"[M-H]-","L-Glutamic acid; LC-ESI-QTOF; MS2; CE",57945,318823152,297461374,58830739,87395041,42755622,44991227,34716493,578865108,708779521,698565201,744854732,845355632,786595169,41798350,751361075,796045338,805375627,388544388,528726628,345314434,699032310,674911985,548944741,47610762,21971793,20683616,25084239,26499967,88965403,85971022
2.155,"[M-H]-","(-)-Citramalic acid; LC-ESI-QTOF; MS2; CE",13224,27767659,31990480,13415784,7567255,20584524,21206829,10696720,28629054,40056349,26926743,46499989,76916714,42034198,12936656,83816518,3678330,130993441,16436771,17005844,17171554,36033469,49717411,48569595,14456644,20259443,21479613,19059170,18316070,1720038,8015361
5.198,"[M-H]-","Guanine",8985,1573962,1379537,93261,10155,2136491,1046758,1943473,600786,278801,1049812,503167,38905,40107,12203,5301773,5788532,2941779,1389567,964154,902736,1011933,2318583,3418250,9367,38751,11019,10691,4232,11448,15269
