"","Metabolite.name","Adduct.type","Average.Rt.min.","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
"1","3-Hydroxypyridine; LC-ESI-QTOF; MS2; CE","[M+H]+",2.331,0.0137901960795827,0.00335206288584699,0.153904209242506,0.134165158045998,0.323910882797056,0.0406333924058883,0.0271191263740657,0.0250744389061477,0.0149360725050042,0.0183820204810303,0.00421745232871234,0.0071375116792098,0.0282255134423827,0.0118488562228229,0.0123063847097209,0.0120323324860982,0.0143253820754334,0.01348810494441,0.0156846820832725,0.00970365928837145,0.0273661672902266,0.0142354911844781,0.015266618486715,0.0157923358448956,0.0137037550023522,0.0157043778282968,0.00782319274045667,0.00587062263901844
"2","GABA; LC-ESI-QTOF; MS2; CE","[M+H]+",1.76,0.00516899659293892,0.000293723105698936,0.00539638697679681,0.00490142927068998,0.00434398592902525,0.0599822877944099,0.0382300473733692,0.0676227947419286,0.0740071057362436,0.0578800444844929,0.0625888816701138,0.00311262325726042,0.155051589487535,0.144405388654378,0.180625979233701,0.023849484940889,0.0176241299234661,0.0199867013087423,0.00572656029476957,0.00300224476249738,0.0571970756191067,0.00466469762710432,0.000910881773241509,0.000456154273836783,0.000862918723801002,0.0011170922237855,0.000595686622489386,0.000395107597688127
"3","Choline; LC-ESI-QTOF; MS2; CE","[M]+",1.812,0.035280121889927,0.0169889659319445,0.0775364520118408,0.0753413875741095,0.0713381342933955,0.0408870787718893,0.0346498211564325,0.0287487623157714,0.0210082128733909,0.0313675435956266,0.023870868089911,0.0330466836638007,0.0107602314374331,0.0231584251363113,0.0175382667201248,0.00987160545780178,0.00802966938557138,0.0108492905369978,0.00982008512199591,0.0127865029284552,0.0101633200654849,0.0298477000783761,0.084583012553324,0.0824427399606948,0.0776211669882738,0.0737019269632204,0.0241933244482002,0.0245687000496949
"4","Serine","[M+H]+",1.7,0.0105072765890297,0.0966725248416225,0.0154430263283405,0.0124554843656421,0.0118961261579019,0.039679192628001,0.0519850884787911,0.0465580093450729,0.0491199477361285,0.0415611899715112,0.0542676533760994,0.0110007496201555,0.0586528115523351,0.077083621057078,0.103449619229324,0.00894394546933964,0.0139075734006371,0.0108197389273572,0.00527935484061516,0.00551501735508588,0.0145329193826757,0.0115826531232397,0.0197622316571489,0.0161950651697106,0.0172046263810486,0.0192207603733097,0.0870457754127658,0.0896580172300324
"5","Serine","[M+H]+",4.284,0.00465859090095334,0.0270679381627791,0.0140691467644548,0.00918360332283578,0.013104284369614,0.0685851589982193,0.0643546561492329,0.0377385901621274,0.0432975750463047,0.0813938868048988,0.0432214675954271,0.00451052905968403,0.0294041132103,0.131857480470298,0.105040907165915,0.0131504042808072,0.00983285057058907,0.00869673550512745,0.00665228678198372,0.00656104160013372,0.0142294496642569,0.00430948952246968,0.0489670959037902,0.0447382158893634,0.0395143637915736,0.0370077562156287,0.070796733506249,0.0180556485849829
"6","Serine","[M+H]+",2.314,0.00785432268353193,0.0394627677414269,0.0147770907544145,0.0125508206807258,0.015405870436102,0.061066389693952,0.0655165537397748,0.0501204323645777,0.064556182232032,0.0560997129570318,0.069491006261416,0.00535405078364172,0.0558218842364998,0.0848152696038678,0.101789312803938,0.0169966018853802,0.0169143712554648,0.0181136323579459,0.0068421224606338,0.00672624181559626,0.0209382992378372,0.00950327623660302,0.0351888731139608,0.026941458889342,0.0281826520916902,0.0277961738428703,0.051779967946847,0.0293946618928959
"7","Serine","[M+H]+",5.049,0.0102176079850162,0.0180395065498488,0.0133959747022684,0.00990387511047264,0.0137655584478283,0.0697363973898118,0.138466339157669,0.0396069476802287,0.0470840101032379,0.0389698529098215,0.0445479475078743,0.01025471028542,0.0355024627113602,0.0413948760767882,0.054277678710942,0.0109458982483486,0.00696828455113196,0.0157716555033703,0.00455565429123449,0.00412031044372313,0.0117249446624221,0.00962213707925698,0.0665527958474769,0.0637578959885344,0.0584765306361069,0.052976054101446,0.0527266548071768,0.0566374385111842
"8","Serine","[M+H]+",2.19,0.00677436912303762,0.0448862110603611,0.0119917385937543,0.00829591997419226,0.0133039089022474,0.0590694355998042,0.067189072980875,0.045578879285221,0.0582165308258004,0.0518014024515715,0.070540429279533,0.00810988002981868,0.0648041833938073,0.103055752839968,0.108913600970943,0.0146793546540891,0.00808913722135284,0.0156452089589533,0.00626931466198733,0.00601860325033026,0.0220813896375204,0.00407949307973979,0.030409528461275,0.0173381711357492,0.024351512228605,0.0240173389992018,0.0459818791286194,0.0585077532716422
"9","1-Acetylimidazole","[M+H]+",4.05,0.00397497952779304,0.0436523339123446,0.0667568403819254,0.0649569550357053,0.0755163003449909,0.0581440791160879,0.0237125490170481,0.0190408684401373,0.0150263711096162,0.0430598192200999,0.027167908973593,0.00447240923876095,0.0126782498522414,0.0172033663178849,0.0138694701909257,0.0548307746411249,0.0491840860714903,0.0496002258621593,0.0127306710839573,0.0153707765832003,0.0191148234255747,0.0227430590487155,0.0574267359452386,0.051351323797604,0.0435923758668261,0.0510350467898187,0.0439503072294666,0.0398372929756693
"10","Cytosine","[M+H]+",2.35,0.00148876484233995,0.00816986277669811,0.100965018023061,0.0326599139045666,0.0719540997089031,0.00761575887194933,0.0133626513651511,0.00391135607635557,0.00729984729466097,0.00202327284452316,0.000611037318767388,0.000410162025897287,0.0903771876879458,0.067073143706688,0.0792185497886125,0.097760112344842,0.0688300002813248,0.0820242658540535,0.0220184068866853,0.134869123852089,0.0416100084010106,0.00111172846475834,0.00124760200466338,0.00157289653548374,0.00118879791547649,0.00153902689448985,0.0324613593228029,0.0266260450062003
