"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Blank_2","Blank_3","Blank_4","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
2.331,"[M+H]+","3-Hydroxypyridine; LC-ESI-QTOF; MS2; CE",4942,113609,102865,121665,1185197,1083034,649400,222775,6376108,5569338,13324582,1746529,1194177,1110607,696234,837076,258145,377493,1239397,570054,588754,577553,671274,637053,726831,482376,1204274,667600,709744,731231,645867,727636,405518,325713
1.76,"[M+H]+","GABA; LC-ESI-QTOF; MS2; CE",42075,167926,149752,129212,546142162,390021531,43497776,2587013,45405918,41252490,36574715,503462447,320928943,567577613,621151435,485821513,525335629,26241759,1301234650,1211897262,1515841646,200254732,148014786,167840258,48176561,25315520,480090393,39265961,7765888,3950051,7363407,9496299,5120934,3437779
1.812,"[M]+","Choline; LC-ESI-QTOF; MS2; CE",194826,375965,518862,478678,549354464,538326298,428346348,206471315,940923282,914296753,865736566,496359750,420700686,349119774,255225508,380886065,289950034,401254338,130915638,281307972,213134433,120136444,97793426,131995941,119511493,155494678,123674995,362450088,1026399337,1000437443,941950890,894409799,293861488,298414862
1.7,"[M+H]+","Serine",6300,63922,62432,49372,15585184,12448829,4858890,44331191,7119957,5751364,5495122,18222545,23859876,21373731,22547355,19084688,24905519,5084950,26914360,35357514,47435778,4142728,6416566,5002029,2463979,2571936,6703037,5351520,9098585,7464466,7926946,8850537,39921177,41117845
4.284,"[M+H]+","Serine",2911,74263,54099,44539,6587987,4210172,577894,3146325,1656478,1096525,1545891,7904791,7419915,4369334,5006473,9372854,4997750,560924,3414084,15156702,12083140,1551177,1170938,1040723,806400,795942,1674851,537882,5656281,5171591,4572863,4285570,8158269,2113388
2.314,"[M+H]+","Serine",6300,69343,46648,48084,16023280,13016923,2105257,10406110,3923280,3338628,4088407,16079546,17248226,13204973,16996018,14775222,18291977,1448648,14702260,22316359,26773998,4506157,4484562,4799506,1839438,1809006,5541306,2538297,9283721,7117826,7443782,7342287,13640792,7762074
5.049,"[M+H]+","Serine",2911,76074,57678,47407,6863831,3184229,848229,1462347,1097771,823597,1126788,5521207,10917377,3155664,3742708,3105644,3543595,851142,2833410,3296039,4307502,905409,593116,1284292,403694,369514,966574,801477,5271254,5051819,4637165,4205308,4185727,4492773
2.19,"[M+H]+","Serine",6300,74548,60588,49554,16213421,12815705,2105257,13680575,3689875,2567382,4088407,17988300,20454394,13890952,17729256,15780855,21472267,2510878,19730056,31347812,33126956,4506157,2504578,4799506,1951862,1875716,6754301,1286770,9283721,5313692,7443782,7342287,14013351,17817706
4.05,"[M+H]+","1-Acetylimidazole",30337,69418,76466,60756,798547,637114,118314,707935,1051277,1024530,1181446,923288,411622,342199,282542,699130,462970,125706,247648,314893,265350,874051,790139,796323,248427,287660,343298,397215,912628,822345,707044,817645,712363,651242
2.35,"[M+H]+","Cytosine",8156,180625,141668,113646,12785545,13456095,928952,4599551,55581262,18054399,39642647,4295126,7452472,2259925,4121564,1222611,446728,336367,49764302,36961047,43633740,53820485,37926265,45175202,12207949,74208197,22971586,721808,796457,975174,764150,956566,17945313,14739388
